,Name,Tamanho,Otimo,Chris_Cost,Chris_Ratio,TAtT_Cost,TAtT_Ratio,Chris_Time,TAtT_Time,Chris_Space,TAtT_Space
29,ts225,225,126643,165571.62467484295,1.3073886805811845,196979.27842963857,1.5553901789253142,0.3587238788604736,0.29,150.344,150.344
30,tsp225,225,3916,5270.431612781315,1.345871198360908,5134.281989396211,1.3111036745138436,1.0697417259216309,0.28,149.512,149.512
31,pr226,226,80369,119975.558347482,1.4928088983001158,115264.0126646197,1.4341849800870945,0.5658080577850342,0.3,155.248,155.248
32,gil262,262,2378,3312.3787990918395,1.3929263242606558,3358.1541767582894,1.4121758522953278,2.1322591304779053,0.41,157.598,157.598
33,pr264,264,49135,70878.26002272648,1.4425208104757603,70613.7888411385,1.4371382688742955,1.079308032989502,0.41,158.918,158.918
34,a280,280,2579,3622.490225426928,1.4046104014838807,3751.398844000169,1.454594355951985,1.6726200580596924,0.45,184.347,184.347
35,pr299,299,48191,65567.12850797754,1.3605679174114989,64573.23371762577,1.3399438425769494,2.2353672981262207,0.49,160.232,160.232
36,lin318,318,42029,58838.41387429771,1.3999479853029506,59334.95440474816,1.4117622214363454,2.975903987884521,0.6,159.99,159.99
37,lin318,318,42029,58838.41387429771,1.3999479853029506,59334.95440474816,1.4117622214363454,2.4798288345336914,0.6,159.99,159.99
38,lin318,318,42029,58838.41387429771,1.3999479853029506,59334.95440474816,1.4117622214363454,2.975903987884521,0.6,159.99,159.99
39,lin318,318,42029,58838.41387429771,1.3999479853029506,59334.95440474816,1.4117622214363454,2.4798288345336914,0.6,159.99,159.99
40,rd400,400,15281,20281.34090345807,1.3272260260099515,20250.376744292647,1.3251997084151985,14.035523891448976,0.9,166.359,166.359
41,fl417,417,11861,18174.327809503546,1.5322761832479173,16299.72614958688,1.3742286611235883,5.2947211265563965,0.99,166.704,166.704
42,pr439,439,107217,146151.6214467639,1.3631385083220375,146846.6506092363,1.3696209613143093,4.5290350914001465,8.82,195.056,195.056
43,pcb442,442,50778,68806.06231850531,1.355036872631953,69762.39674204763,1.373870509709867,8.531363725662231,1.34,165.274,165.274
44,d493,493,35002,46765.57748209692,1.3360830090308247,45571.71848892038,1.3019747011290892,13.7357280254364,1.76,192.632,192.632
45,u574,574,36905,50578.67508487572,1.3705100957831113,49086.37285729394,1.330073780173254,23.7464063167572,1.85,167.6,167.6
46,rat575,575,6773,9102.977024093176,1.3440096004862212,9425.889324223228,1.3916860068246313,32.42246603965759,1.87,168.062,168.062
47,p654,654,34643,50376.311381259446,1.4541555691267918,49620.10587707909,1.4323270466495133,6.954732179641724,2.63,193.071,193.071
48,d657,657,48912,65850.4797990497,1.3463051970692204,65730.19370040316,1.3438459621443237,42.26826906204224,2.44,168.815,168.815
49,u724,724,41910,59046.14044194702,1.4088795142435462,57934.088827179134,1.3823452356759516,50.61195087432861,2.94,169.12,169.12
50,rat783,783,8806,12262.019381223146,1.3924618874884336,12067.602998246572,1.3703841696850525,84.14913010597229,3.4,170.576,170.576
51,pr1002,1002,259045,358369.5754065346,1.3834259507287714,351387.2202433054,1.3564717336497727,117.86841893196106,5.51,171.584,171.584
52,u1060,1060,224094,300742.600140928,1.3420377169443538,303084.36154874734,1.3524876237148131,148.82932686805725,7.89,202.952,202.952
53,vm1084,1084,239297,340733.9408722063,1.423895581107186,314321.65542920964,1.3135210864708275,77.91831088066101,8.69,200.784,200.784
54,pcb1173,1173,56892,82860.95796293649,1.4564606265017312,80728.18863419454,1.418972590771893,149.99624300003052,8.48,206.624,206.624
55,d1291,1291,50801,68650.67895493141,1.3513647163428164,80210.59377217208,1.5789176152471818,50.53432774543762,10.4,202.256,202.256
56,rl1304,1304,252948,369035.720666562,1.4589390731160632,350894.10127275786,1.3872183265839535,40.80615186691284,12.1,206.576,206.576
57,rl1323,1323,270199,373544.6133297861,1.3824796291984283,384134.4512578047,1.4216723646564373,47.53685688972473,11.41,211.544,211.544
58,nrw1379,1379,56638,78188.47483223786,1.3804949827366408,79156.2650653691,1.397582278070714,498.1982188224793,12.83,204.128,204.128
59,fl1400,1400,20127,32431.94942907915,1.6113653017876064,27825.070536374555,1.3824748117640262,508.6437249183655,14.14,204.456,204.456
60,u1432,1432,152970,204866.11574490336,1.339256819931381,222340.33979095667,1.453489833241529,193.70472693443295,12.7,200.864,200.864
61,fl1577,1577,22249,30031.030789893503,1.3497699128002834,32026.55301436519,1.4394603359416238,120.21364617347716,18.62,211.544,211.544
62,d1655,1655,62128,84185.26123349734,1.35502931421416,87803.08156454594,1.4132610347113368,235.11153721809387,19.88,207.072,207.072
63,vm1748,1748,336556,494230.3417184491,1.4684936287525674,445935.551642111,1.3249965879143768,292.6192910671234,25.72,236.76,236.76
64,u1817,1817,57201,77858.87657359803,1.3611453746192903,89396.09895070497,1.5628415403700104,288.036004781723,22.94,208.656,208.656
65,rl1889,1889,316536,432242.824319438,1.365540805214693,449335.90756593214,1.4195412451219833,124.60818791389464,23.24,216.92,216.92
66,d2103,2103,80450,95202.76615784931,1.1833780752995564,140961.1078959783,1.7521579601737514,54.922820806503296,31.83,212.48,212.48
67,u2152,2152,64253,90507.33826583649,1.4086087539233418,101570.27112887488,1.5807864399930724,436.184415102005,33.12,208.872,208.872
68,u2319,2319,234256,314597.55364024366,1.3429647635076312,405732.6557932765,1.732005394923829,144.81112694740295,29.94,184.296,184.296
69,pr2392,2392,378032,535752.0114801462,1.417213387967543,526143.6307754437,1.391796543084828,1225.2658088207245,38.09,220.576,220.576
70,pcb3038,3038,137694,,,196718.24358220736,1.4286624223438011,1800.0,66.37,231.544,231.544
71,fl3795,3795,28772,,,40756.44806515285,1.4165316302360924,1800.0,151.08,268.488,268.488
72,fnl4461,4461,182566,,,254728.162196642,1.3952661623557616,1800.0,163.15,239.664,239.664
